Name,id,display_name,works_api_url,h_index,works_count,country_code
marc keuschnigg,https://openalex.org/A5058700879,Marc Keuschnigg,https://api.openalex.org/works?filter=author.id:A5058700879,17.0,76.0,
sonia yeh,https://openalex.org/A5029945844,Sonia Yeh,https://api.openalex.org/works?filter=author.id:A5029945844,41.0,224.0,GB
peter hedström,https://openalex.org/A5071769816,Peter Hedström,https://api.openalex.org/works?filter=author.id:A5071769816,32.0,92.0,SE
nina tahmasebi,https://openalex.org/A5003859694,Nina Tahmasebi,https://api.openalex.org/works?filter=author.id:A5003859694,15.0,110.0,SE
elliot ash,https://openalex.org/A5106621037,Elliot Ash,https://api.openalex.org/works?filter=author.id:A5106621037,1.0,1.0,CH
hendrik erz,https://openalex.org/A5020654056,Hendrik Erz,https://api.openalex.org/works?filter=author.id:A5020654056,2.0,38.0,
mirta galesic,https://openalex.org/A5071165387,Mirta Galešić,https://api.openalex.org/works?filter=author.id:A5071165387,47.0,196.0,US
david garcia,https://openalex.org/A5038971800,William M. Gardner,https://api.openalex.org/works?filter=author.id:A5038971800,36.0,199.0,ES
josef ginnerskov,https://openalex.org/A5019523274,Josef Ginnerskov,https://api.openalex.org/works?filter=author.id:A5019523274,1.0,3.0,SE
jacob habinek,https://openalex.org/A5091135953,Jacob Habinek,https://api.openalex.org/works?filter=author.id:A5091135953,5.0,23.0,SE
petter holme,https://openalex.org/A5079517520,Petter Holme,https://api.openalex.org/works?filter=author.id:A5079517520,51.0,251.0,JP
andreas jungherr,https://openalex.org/A5042192372,Andreas Jungherr,https://api.openalex.org/works?filter=author.id:A5042192372,31.0,137.0,DE
juhi kulshrestha,https://openalex.org/A5075116664,Juhi Kulshrestha,https://api.openalex.org/works?filter=author.id:A5075116664,16.0,56.0,FI
erika fille t. legara,https://openalex.org/A5074548613,Erika Fille Legara,https://api.openalex.org/works?filter=author.id:A5074548613,13.0,48.0,PH
may lim,https://openalex.org/A5010526266,May Lim,https://api.openalex.org/works?filter=author.id:A5010526266,35.0,77.0,AU
laura lotero,https://openalex.org/A5084602527,Laura Lotero,https://api.openalex.org/works?filter=author.id:A5084602527,11.0,38.0,
angélica sousa da mata,https://openalex.org/A5056123843,Angélica S. Mata,https://api.openalex.org/works?filter=author.id:A5056123843,12.0,37.0,BR
denise pumain,https://openalex.org/A5040713816,Dénise Pumain,https://api.openalex.org/works?filter=author.id:A5040713816,33.0,610.0,FR
yang yue,https://openalex.org/A5011660475,Yue‐Heng Yang,https://api.openalex.org/works?filter=author.id:A5011660475,73.0,286.0,CN
martin arvidsson,https://openalex.org/A5008643048,Martin Arvidsson,https://api.openalex.org/works?filter=author.id:A5008643048,14.0,60.0,SE
yuan liao,https://openalex.org/A5108538229,Hong-Yuan Mark Liao,https://api.openalex.org/works?filter=author.id:A5108538229,35.0,195.0,TW
anastasia menshikova,https://openalex.org/A5024468323,Anastasia Menshikova,https://api.openalex.org/works?filter=author.id:A5024468323,2.0,6.0,SE
lauren fahey,https://openalex.org/A5027964188,Lauren E. Fahey,https://api.openalex.org/works?filter=author.id:A5027964188,1.0,1.0,US
zhao feng,https://openalex.org/A5100437036,Kai Wang,https://api.openalex.org/works?filter=author.id:A5100437036,171.0,7341.0,CN
thomas haase,https://openalex.org/A5071889215,Volker H. Haase,https://api.openalex.org/works?filter=author.id:A5071889215,67.0,175.0,US
yukun jiao,https://openalex.org/A5113598639,Yongli Jiao,https://api.openalex.org/works?filter=author.id:A5113598639,20.0,27.0,
xiaojing jie,https://openalex.org/A5100432839,Xiaojing Zhang,https://api.openalex.org/works?filter=author.id:A5100432839,24.0,90.0,CN
kazuki sakamoto,https://openalex.org/A5074705824,Kazuki Sakamoto,https://api.openalex.org/works?filter=author.id:A5074705824,22.0,187.0,JP
vsevolod suschevskiy,https://openalex.org/A5070427696,Vsevolod Suschevskiy,https://api.openalex.org/works?filter=author.id:A5070427696,1.0,7.0,US
yun-tsz tsai,https://openalex.org/A5112349429,Tsai-Yun Chan,https://api.openalex.org/works?filter=author.id:A5112349429,1.0,6.0,TW
yize zhang,https://openalex.org/A5064837504,Yize Zhang,https://api.openalex.org/works?filter=author.id:A5064837504,20.0,141.0,CN
yue zheng,https://openalex.org/A5006964660,Ming Zheng,https://api.openalex.org/works?filter=author.id:A5006964660,60.0,298.0,US
noé vidal-naquet,https://openalex.org/A5115804472,Noé Vidal-Naquet,https://api.openalex.org/works?filter=author.id:A5115804472,0.0,1.0,
dean eckles,https://openalex.org/A5080265907,Dean Eckles,https://api.openalex.org/works?filter=author.id:A5080265907,34.0,121.0,US
kathleen carley,https://openalex.org/A5085927300,Kathleen M. Carley,https://api.openalex.org/works?filter=author.id:A5085927300,80.0,881.0,
laura nelson,https://openalex.org/A5111667138,Laura E. Nelson,https://api.openalex.org/works?filter=author.id:A5111667138,12.0,21.0,US
duncan j. watts,https://openalex.org/A5000679279,Duncan J. Watts,https://api.openalex.org/works?filter=author.id:A5000679279,70.0,232.0,US
brandon stewart,https://openalex.org/A5113226689,Brandon Stewart,https://api.openalex.org/works?filter=author.id:A5113226689,31.0,303.0,US
lisa p. argyle,https://openalex.org/A5070497645,Lisa P. Argyle,https://api.openalex.org/works?filter=author.id:A5070497645,11.0,38.0,
amir goldberg,https://openalex.org/A5109219790,Amir Pnueli,https://api.openalex.org/works?filter=author.id:A5109219790,88.0,367.0,IL
arnout van de rijt,https://openalex.org/A5081982677,Arnout van de Rijt,https://api.openalex.org/works?filter=author.id:A5081982677,23.0,106.0,IT
sarah williams,https://openalex.org/A5033458280,Sarah Williams,https://api.openalex.org/works?filter=author.id:A5033458280,34.0,123.0,GB
étienne ollion,https://openalex.org/A5022704573,Étienne Ollion,https://api.openalex.org/works?filter=author.id:A5022704573,17.0,131.0,
émilien schultz,https://openalex.org/A5079294298,Émilien Schultz,https://api.openalex.org/works?filter=author.id:A5079294298,11.0,114.0,FR
miriam schirmer,https://openalex.org/A5036764962,Miriam Schirmer,https://api.openalex.org/works?filter=author.id:A5036764962,3.0,13.0,
julia mendelsohn,https://openalex.org/A5038833789,Julia Mendelsohn,https://api.openalex.org/works?filter=author.id:A5038833789,9.0,23.0,US
dustin wright,https://openalex.org/A5090577017,Dustin E. Wright,https://api.openalex.org/works?filter=author.id:A5090577017,9.0,25.0,
dietram a. scheufele,https://openalex.org/A5064753440,Dietram A. Scheufele,https://api.openalex.org/works?filter=author.id:A5064753440,76.0,327.0,US
ágnes horvát,https://openalex.org/A5004566032,Emőke-Ágnes Horvát,https://api.openalex.org/works?filter=author.id:A5004566032,15.0,72.0,US
caspar van lissa,https://openalex.org/A5069426228,Caspar J. Van Lissa,https://api.openalex.org/works?filter=author.id:A5069426228,36.0,200.0,NL
jorge barreras,https://openalex.org/A5035315636,Jorge Varela Barreras,https://api.openalex.org/works?filter=author.id:A5035315636,16.0,46.0,ES
thomas li,https://openalex.org/A5052819678,L. Li,https://api.openalex.org/works?filter=author.id:A5052819678,184.0,3382.0,
chen zhong,https://openalex.org/A5100430399,Zhong Chen,https://api.openalex.org/works?filter=author.id:A5100430399,103.0,1232.0,US
cate heine,https://openalex.org/A5027319334,Cate Heine,https://api.openalex.org/works?filter=author.id:A5027319334,7.0,21.0,GB
adam zhou,https://openalex.org/A5015739831,Andy Zhou,https://api.openalex.org/works?filter=author.id:A5015739831,11.0,50.0,DK
paolo turrini,https://openalex.org/A5066749809,Paolo Turrini,https://api.openalex.org/works?filter=author.id:A5066749809,13.0,21.0,IT
elias fernández domingos,https://openalex.org/A5056886170,Elias Fernández Domingos,https://api.openalex.org/works?filter=author.id:A5056886170,7.0,31.0,BE
kristina gligoric,https://openalex.org/A5031039880,Kristina Gligorić,https://api.openalex.org/works?filter=author.id:A5031039880,10.0,48.0,
cinoo lee,https://openalex.org/A5067413576,Cinoo Lee,https://api.openalex.org/works?filter=author.id:A5067413576,1.0,1.0,
tijana zrnic,https://openalex.org/A5032482329,Tijana Zrnic,https://api.openalex.org/works?filter=author.id:A5032482329,10.0,44.0,US
adel daoud,https://openalex.org/A5090745602,Adel Daoud,https://api.openalex.org/works?filter=author.id:A5090745602,21.0,143.0,SE
connor jerzak,https://openalex.org/A5026867670,Connor Jerzak,https://api.openalex.org/works?filter=author.id:A5026867670,5.0,509.0,SE
mark whiting,https://openalex.org/A5109996006,M. C. Whiting,https://api.openalex.org/works?filter=author.id:A5109996006,32.0,208.0,US
linnea gandhi,https://openalex.org/A5030831197,Katherine L. Milkman,https://api.openalex.org/works?filter=author.id:A5030831197,47.0,180.0,
duncan watts,https://openalex.org/A5000679279,Duncan J. Watts,https://api.openalex.org/works?filter=author.id:A5000679279,70.0,232.0,US
egor kotov,https://openalex.org/A5002144560,Egor Kotov,https://api.openalex.org/works?filter=author.id:A5002144560,2.0,39.0,ES
johannes mast,https://openalex.org/A5016430518,Johannes Mast,https://api.openalex.org/works?filter=author.id:A5016430518,6.0,20.0,US
matthew a. turner,https://openalex.org/A5045839389,Matthew A. Turner,https://api.openalex.org/works?filter=author.id:A5045839389,27.0,126.0,US
james holland jones,https://openalex.org/A5077865016,Larry V. Hedges,https://api.openalex.org/works?filter=author.id:A5077865016,98.0,450.0,US
kathleen carly,https://openalex.org/A5034443870,Katie Sweet,https://api.openalex.org/works?filter=author.id:A5034443870,22.0,29.0,GB
yaomin jiang,https://openalex.org/A5019284998,Yi Jiang,https://api.openalex.org/works?filter=author.id:A5019284998,41.0,234.0,ES
levin brinkmann,https://openalex.org/A5061514105,Levin Brinkmann,https://api.openalex.org/works?filter=author.id:A5061514105,5.0,15.0,DE
anne-marie nussberger,https://openalex.org/A5086655976,Anne-Marie Nußberger,https://api.openalex.org/works?filter=author.id:A5086655976,10.0,34.0,GB
ivan soraperra,https://openalex.org/A5071006314,Ivan Soraperra,https://api.openalex.org/works?filter=author.id:A5071006314,13.0,67.0,DE
jf bonnefon,https://openalex.org/A5039792659,JF Bonnefon,https://api.openalex.org/works?filter=author.id:A5039792659,0.0,1.0,
iyad rahwan,https://openalex.org/A5009232244,Iyad Rahwan,https://api.openalex.org/works?filter=author.id:A5009232244,49.0,335.0,DE
david alexander ehrlich,https://openalex.org/A5029115979,David A. Ehrlich,https://api.openalex.org/works?filter=author.id:A5029115979,7.0,19.0,DE
viola priesemann,https://openalex.org/A5079452617,Viola Priesemann,https://api.openalex.org/works?filter=author.id:A5079452617,36.0,248.0,DE
