Name
marc keuschnigg
sonia yeh
peter hedström
nina tahmasebi
elliot ash
hendrik erz
mirta galesic
david garcia
josef ginnerskov
jacob habinek
petter holme
andreas jungherr
juhi kulshrestha
erika fille t. legara
may lim
laura lotero
angélica sousa da mata
kwabena afriyie owusu
denise pumain
yang yue
martin arvidsson
yuan liao
anastasia menshikova
josé bener
johannes fagerlind
lauren fahey
zhao feng
thomas haase
yukun jiao
xiaojing jie
kazuki sakamoto
helpis saleh
marc sparhuber
vsevolod suschevskiy
yun-tsz tsai
yize zhang
yue zheng
noé vidal-naquet
dean eckles
kathleen carley
laura nelson
duncan j. watts
brandon stewart
lisa p. argyle
amir goldberg
arnout van de rijt
sarah williams
étienne ollion
émilien schultz
miriam schirmer
julia mendelsohn
dustin wright
dietram a. scheufele
ágnes horvát
caspar van lissa
jorge barreras
thomas li
chen zhong
cate heine
adam zhou
paolo turrini
elias fernández domingos
kristina gligoric
cinoo lee
tijana zrnic
adel daoud
connor jerzak
mark whiting
linnea gandhi
amirhossein nakhaei
duncan watts
egor kotov
johannes mast
matthew a. turner
james holland jones
kathleen carly
yaomin jiang
levin brinkmann
anne-marie nussberger
ivan soraperra
jf bonnefon
iyad rahwan
vincent christoph brockers
david alexander ehrlich
viola priesemann
pratyusha kalluri
maggie harrington
esin durmus
kiara l. sanchez
nay san
danny tse
xuan zhao
maryam hamedani
hazel rose markus
dan jurafsky
jennifer l. eberhardt
giuliano cornacchia
luca pappalardo
mirco nanni
dino pedreschi
marta c. gonzalez
drew johnston
michael bailey
ayush kumar
theresa kuchler
johannes stroebel
zerui tian
justyna janczy
marko čuljak
andreas spitz
akhil arora
keigo kusumegi
xinyu yang
paul ginsparg
mathijs de vaan
toby stuart
yian yin
samar haider
jenny shan wang
amir tohidi kalorazi
timothy dörr
david rothschild
chris callison-burch
ali salloum
yan xia
mikko kivelä
corinna coupette
ghadeer awwad
david gamba
lavinia dunagan
tamara n. rayan
yingdan lu
xinyi liu
carl zhou
timo koch
sanaz talaifar
daniel racek
jan digutsch
pietro alessandro aluffi
ramona schoedel
markus buehner
clemens stachl
shaily bhatt
tal august
maria antoniak
mohammed alsobay
jake m. hofman
daniel g. goldstein
junsol kim
james evans
aaron schein
helena bjornesjo
axel alness borg
katie cohen
björn pelzer
erik wachtmeister
yilun liu
daniel matter
jürgen pfeffer
katelyn x. mei
anna seo gyeong choi
hilke schellmann
mona sloane
allison koenecke
hannah waight
eddie yang
yin yuan
solomon messing
margaret roberts
brandon m. stewart
joshua tucker
hanjia lyu
jiebo luo
jian kang
edoardo loru
jacopo nudo
niccolò di marco
edoardo di martino
matteo cinelli
walter quattrociocchi
jonathan sakunkoo
annabella sakunkoo
daniele barolo
chiara valentin
fariba karimi
luis galárraga
gonzalo gabriel méndez
lisette espin-noboa
hope schroeder
deb roy
jad kabbara
kristina gligorić
emmanuel candes
alisa kanganis
katherine a. keith
achim edelmann
simon walo
panayiotis smeros
sergio e. zanotto
segun aroyehun
shreya havaldar
lyle ungar
jacy reese anthis
erik brynjolfsson
hiromu yakura
ezequiel lopez-lopez
ignacio serna
prateek gupta
babak heydari
negin maddah
thomas f. eisenmann
andres karjus
mar canet sola
bramantyo ibrahim supriyatno
arti thakur
tom murray
martin hilbert
mahnaz roshanaei
rezvaneh rezapour
magy el-nasr
kenji yokotani
nobuhito abe
masahiro takamura
markus bo pettersson
connor thomas jerzak
david broska
austin van loon
michael howes
elizaveta sivak
gert stulp
dagoberto quevedo
jesica olivares
diego donoso
roberto gillmore
josh nguyen
mark e. whiting
neele engelmann
lara kirfel
raluca rilla
yelena mejova
ronald e. robertson
sarah mcketta
catherine a. gimbrone
byunghwee lee
sangyeon kim
filippo menczer
yong-yeol ahn
haewoon kwak
jisun an
xudong tang
matthew groh
